mc 0f 00000c70 00000e9d 00000c9f 00000d84 07eb fd 00023569 t0:0
mc 0f 00000c67 00000eb5 00000c70 00000d84 07ef fe 00023681 t0:0
mc 0f 00000c7e 00000e9d 00000c62 00000d80 07f3 ff 00023799 t0:0
mc 0f 00000c88 00000eb5 00000c75 00000d5f 07f7 00 000238b1 t0:0
mc 0f 00000c91 00000eb5 00000c91 00000d8e 07fb 01 000239c9 t0:0
mc 0f 00000ca4 00000eb5 00000c67 00000d55 07ff 02 00023ae1 t0:0
mc 0f 00000c83 00000eab 00000c6b 00000d7b 0803 03 00023bf9 t0:0
mc 0f 00000c88 00000e9d 00000c7a 00000d7b 0807 04 00023d11 t0:0
mc 0f 00000c8c 00000ebe 00000c75 00000d80 080b 05 00023e29 t0:0
mc 0f 00000c83 00000eed 00000c75 00000d6d 080f 06 00023f41 t0:0
mc 0f 00000c8c 00000ee3 00000cb7 00000d72 0813 07 00024059 t0:0
mc 0e 00000000 00000dd4 00000c9a 00000d63 0816 08 00024167 t0:0
mc 0f 00000c91 00000e52 00000c6b 00000d76 081a 0a 000243a1 t0:0
mc 0f 00000c83 00000e8f 00000c7e 00000d80 081e 0b 000244b9 t0:0
mc 0f 00000c7e 00000e49 00000c75 00000d63 0822 0c 000245d1 t0:0
mc 0f 00000c9f 00000e65 00000c75 00000d4c 0826 0d 000246e9 t0:0
mc 0f 00000c83 00000e60 00000c8c 00000d76 082a 0e 00024801 t0:0
mc 0f 00000c75 00000e52 00000c46 00000d5a 082e 0f 00024919 t0:0
mc 0f 00000c7e 00000e3b 00000c5d 00000d72 0832 10 00024a31 t0:0
mc 0f 00000c7e 00000e44 00000c70 00000d55 0836 11 00024b49 t0:0
mc 0f 00000c7a 00000e44 00000c67 00000d5f 083a 12 00024c61 t0:0
mc 0f 00000c8c 00000e4d 00000c67 00000d63 083e 13 00024d79 t0:0
mc 0f 00000c83 00000e57 00000c5d 00000d7b 0842 14 00024e91 t0:0
mc 0f 00000c9f 00000e49 00000c75 00000d76 0846 15 00024fa9 t0:0
